"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R7,R3,R5,R1,R2,R4,R6";"R_0402_1005Metric";7;"200K";;;
2;"TP_3V1,TP8,TP6,TP5,TP7,TP3,TP4,TP1,TP2";"TestPoint_Pad_D1.0mm";9;"TestPoint";;;
3;"C25,C27,C31,C28,C33,C42,C46,C39,C30,C36,C47,C38,C45,C41,C49,C34,C48,C40,C43,C37,C24,C35,C44";"C_0402_1005Metric";23;"1uF";;;
4;"J2,J5,J4,J1,J3";"Hirose_FH12-16S-0.5SH_1x16-1MP_P0.50mm_Horizontal";5;"FH12A-16S-0.5SH";;;
5;"H2,H3,H1,H4";"MountingHole_2.5mm";4;"MountingHole";;;
6;"C16,C18,C17,C29,C14,C19,C26,C32,C12,C13,C15,C11,C10";"C_0402_1005Metric";13;"100nF";;;
7;"R18";"R_0402_1005Metric";1;"6.8K";;;
8;"JP2,JP1";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels";2;"Jumper_3_Open";;;
9;"C22,C23,C20";"C_0805_2012Metric";3;"22uF";;;
10;"U4";"QFN-88_EP_10x10_Pitch0.4mm";1;"ASM2806";;;
11;"U1";"TPS564242DRLR_TEX";1;"TPS564242DRLR";;;
12;"R11,R10";"R_0402_1005Metric";2;"12.1K";;;
13;"FB1";"L_0603_1608Metric";1;"100Mhz 220 2A";;;
14;"C5,C8";"C_0402_1005Metric";2;"100pF";;;
15;"C4";"C_0805_2012Metric";1;"10uF";;;
16;"C3,C1";"C_0402_1005Metric";2;"18pF";;;
17;"R16";"R_0402_1005Metric";1;"16.5K";;;
18;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"25Mhz";;;
19;"C7,C9,C6";"C_0603_1608Metric";3;"4.7uF";;;
20;"R14";"R_0402_1005Metric";1;"137K";;;
21;"R17";"R_0402_1005Metric";1;"10K";;;
22;"C2";"C_0402_1005Metric";1;"10pF";;;
23;"R9,R8";"R_0402_1005Metric";2;"1K";;;
24;"C21";"C_0603_1608Metric";1;"22uF";;;
25;"L2";"L_0805_2012Metric";1;"DFE201210U-2R2M=P2";;;
26;"R12";"R_0402_1005Metric";1;"3.6K";;;
27;"U2";"SOT-23-5";1;"AP3418KTR-G1";;;
28;"L1";"L_Vishay_IHLP-1616";1;"1.5uH";;;
29;"R15";"R_0402_1005Metric";1;"30K";;;
30;"R13";"R_0402_1005Metric";1;"13.7K";;;
31;"U3";"SOT-23-5";1;"LP5907MFX-3.3";;;
